day,week,value
Monday,1,0
Tuesday,1,0
Wednesday,1,0
Thursday,1,4
Friday,1,0
Saturday,1,5
Sunday,1,2
Monday,2,0
Tuesday,2,1
Wednesday,2,1
Thursday,2,5
Friday,2,4
Saturday,2,3
Sunday,2,8
Monday,3,3
Tuesday,3,4
Wednesday,3,10
Thursday,3,5
Friday,3,8
Saturday,3,5
Sunday,3,7
Monday,4,3
Tuesday,4,3
Wednesday,4,5
Thursday,4,8
Friday,4,5
Saturday,4,5
Sunday,4,1
Monday,5,4
Tuesday,5,4
Wednesday,5,0
Thursday,5,8
Friday,5,8
Saturday,5,11
Sunday,5,6
Monday,6,3
Tuesday,6,12
Wednesday,6,7
Thursday,6,9
Friday,6,5
Saturday,6,7
Sunday,6,6
Monday,7,12
Tuesday,7,10
Wednesday,7,12
Thursday,7,5
Friday,7,9
Saturday,7,16
Sunday,7,16
Monday,8,10
Tuesday,8,12
Wednesday,8,20
Thursday,8,22
Friday,8,13
Saturday,8,12
Sunday,8,19
Monday,9,19
Tuesday,9,22
Wednesday,9,22
Thursday,9,24
Friday,9,16
Saturday,9,27
Sunday,9,21
Monday,10,24
Tuesday,10,22
Wednesday,10,20
Thursday,10,8
Friday,10,18
Saturday,10,13
Sunday,10,20
Monday,11,24
Tuesday,11,31
Wednesday,11,35
Thursday,11,26
Friday,11,25
Saturday,11,22
Sunday,11,24
Monday,12,22
Tuesday,12,28
Wednesday,12,11
Thursday,12,22
Friday,12,10
Saturday,12,21
Sunday,12,7
Monday,13,0
Tuesday,13,2
Wednesday,13,0
Thursday,13,19
Friday,13,23
Saturday,13,22
Sunday,13,24
Monday,14,19
Tuesday,14,13
Wednesday,14,13
Thursday,14,22
Friday,14,17
Saturday,14,18
Sunday,14,19
Monday,15,16
Tuesday,15,14
Wednesday,15,16
Thursday,15,14
Friday,15,23
Saturday,15,18
Sunday,15,16
Monday,16,24
Tuesday,16,8
Wednesday,16,29
Thursday,16,26
Friday,16,18
Saturday,16,14
Sunday,16,18
Monday,17,26
Tuesday,17,24
Wednesday,17,29
Thursday,17,16
Friday,17,9
Saturday,17,14
Sunday,17,19
Monday,18,12
Tuesday,18,16
Wednesday,18,17
Thursday,18,13
Friday,18,16
Saturday,18,21
Sunday,18,16
Monday,19,11
Tuesday,19,17
Wednesday,19,17
Thursday,19,5
Friday,19,0
Saturday,19,0
Sunday,19,0
Monday,20,0
Tuesday,20,0
Wednesday,20,5
Thursday,20,15
Friday,20,8
Saturday,20,15
Sunday,20,18
Monday,21,12
Tuesday,21,19
Wednesday,21,13
Thursday,21,16
Friday,21,17
Saturday,21,9
Sunday,21,13
Monday,22,16
Tuesday,22,16
Wednesday,22,14
Thursday,22,25
Friday,22,22
Saturday,22,23
Sunday,22,16
Monday,23,20
Tuesday,23,15
Wednesday,23,6
Thursday,23,21
Friday,23,14
Saturday,23,20
Sunday,23,0
Monday,24,0
Tuesday,24,0
Wednesday,24,5
Thursday,24,8
Friday,24,15
Saturday,24,12
Sunday,24,15
Monday,25,12
Tuesday,25,14
Wednesday,25,18
Thursday,25,17
Friday,25,8
Saturday,25,6
Sunday,25,0
Monday,26,14
Tuesday,26,15
Wednesday,26,10
Thursday,26,0
Friday,26,15
Saturday,26,10
Sunday,26,6
Monday,27,8
Tuesday,27,13
Wednesday,27,12
Thursday,27,14
Friday,27,19
Saturday,27,10
Sunday,27,4
Monday,28,12
Tuesday,28,17
Wednesday,28,12
Thursday,28,12
Friday,28,18
Saturday,28,20
Sunday,28,14
Monday,29,18
Tuesday,29,16
Wednesday,29,13
Thursday,29,21
Friday,29,13
Saturday,29,14
Sunday,29,0
Monday,30,18
Tuesday,30,18
Wednesday,30,15
Thursday,30,10
Friday,30,16
Saturday,30,17
Sunday,30,0
Monday,31,0
Tuesday,31,19
Wednesday,31,5
Thursday,31,8
Friday,31,14
Saturday,31,0
Sunday,31,0
Monday,32,18
Tuesday,32,3
Wednesday,32,12
Thursday,32,7
Friday,32,9
Saturday,32,14
Sunday,32,8
Monday,33,7
Tuesday,33,12
Wednesday,33,0
Thursday,33,18
Friday,33,12
Saturday,33,12
Sunday,33,0
Monday,34,4
Tuesday,34,10
Wednesday,34,5
Thursday,34,9
Friday,34,0
Saturday,34,3
Sunday,34,1
