ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,POPULATION,AREA_SQKM,POPULATION_DENSITY,NUM_OF_HOUSEHOLDS
ZW10,Bulawayo,ZW1021,Bulawayo,665952,545.7722168,1220.201358,178716
ZW11,Manicaland,ZW1101,Buhera,271920,5357.26709,50.75722293,64084
ZW11,Manicaland,ZW1102,Chimanimani,153619,3344.597412,45.9304906,39155
ZW11,Manicaland,ZW1103,Chipinge,375259,5220.451172,71.88248441,84046
ZW11,Manicaland,ZW1104,Makoni,288441,7834.026855,36.81899556,73086
ZW11,Manicaland,ZW1105,Mutare,306760,5523.211914,55.54014671,70560
ZW11,Manicaland,ZW1106,Mutasa,197808,2547.597168,77.64492852,52370
ZW11,Manicaland,ZW1107,Nyanga,146227,5780.74707,25.29551946,39354
ZW11,Manicaland,ZW1121,Mutare Urban,224804,191.2020264,1175.740677,60355
ZW11,Manicaland,ZW1122,Rusape Town,37906,16.95899582,2235.155926,10566
ZW11,Manicaland,ZW1123,Chipinge Urban,34959,28.58456421,1223.002728,9353
ZW12,Mashonaland Central,ZW1201,Bindura Rural,169841,2242.473389,75.73824548,41255
ZW12,Mashonaland Central,ZW1202,Muzarabani,134076,4266.475586,31.42546988,31100
ZW12,Mashonaland Central,ZW1203,Guruve,153606,2994.329102,51.29897042,37206
ZW12,Mashonaland Central,ZW1204,Mazowe,293363,4354.172363,67.3751463,75348
ZW12,Mashonaland Central,ZW1205,Mount Darwin,240728,4596.181152,52.37565536,58071
ZW12,Mashonaland Central,ZW1206,Rushinga,76876,2327.733887,33.02611198,18567
ZW12,Mashonaland Central,ZW1207,Shamva,165641,2695.219971,61.45732141,38062
ZW12,Mashonaland Central,ZW1208,Mbire,83720,4695.924805,17.82822415,19915
ZW12,Mashonaland Central,ZW1209,Bindura Urban,51394,19.96861076,2573.739386,14044
ZW12,Mashonaland Central,ZW1210,Mvurwi,15646,2.76769495,5653.07965,4417
ZW13,Mashonaland East,ZW1301,Chikomba,123932,6503.243652,19.05695167,34010
ZW13,Mashonaland East,ZW1302,Goromonzi,386203,2520.292969,153.2373437,101629
ZW13,Mashonaland East,ZW1303,Hwedza,74870,2559.824707,29.24809648,19772
ZW13,Mashonaland East,ZW1304,Marondera,136173,3414.457764,39.88129578,37361
ZW13,Mashonaland East,ZW1305,Mudzi,158478,4157.703613,38.11671411,39760
ZW13,Mashonaland East,ZW1306,Murehwa,205440,3556.203369,57.76947454,54247
ZW13,Mashonaland East,ZW1307,Mutoko,161091,4050.085938,39.77471157,40784
ZW13,Mashonaland East,ZW1308,Seke,200478,2637.186523,76.01965133,52703
ZW13,Mashonaland East,ZW1309,Uzumba Maramba Pfungwe,124226,2673.097656,46.47267552,30246
ZW13,Mashonaland East,ZW1321,Marondera Urban,66204,58.86225128,1124.727624,18592
ZW13,Mashonaland East,ZW1322,Ruwa,94078,40.39612579,2328.886698,23562
ZW14,Mashonaland West,ZW1401,Chegutu Rural,178911,5329.128906,33.57227854,46333
ZW14,Mashonaland West,ZW1402,Hurungwe,390897,19843.23633,19.69925639,89115
ZW14,Mashonaland West,ZW1403,Mhondoro-Ngezi,140994,4294.96582,32.82773505,35495
ZW14,Mashonaland West,ZW1404,Kariba Rural,45774,8191.379395,5.588069823,11091
ZW14,Mashonaland West,ZW1405,Makonde,209960,8564.166016,24.51610579,48856
ZW14,Mashonaland West,ZW1406,Zvimba,348002,6071.724609,57.31518183,87846
ZW14,Mashonaland West,ZW1407,Sanyati,139235,4833.006348,28.80919038,32597
ZW14,Mashonaland West,ZW1421,Chinhoyi,103657,150.2304382,689.9866713,27766
ZW14,Mashonaland West,ZW1422,Kadoma,117381,254.3950653,461.4122521,30630
ZW14,Mashonaland West,ZW1423,Chegutu Urban,66260,41.32642365,1603.332545,17355
ZW14,Mashonaland West,ZW1424,Kariba Urban,27910,24.34381485,1146.492453,7699
ZW14,Mashonaland West,ZW1425,Norton,87039,61.99593735,1403.946835,21966
ZW14,Mashonaland West,ZW1426,Karoi,37564,16.9936161,2210.477144,10116
ZW15,Matabeleland North,ZW1501,Binga,159982,13339.17969,11.99339118,39495
ZW15,Matabeleland North,ZW1502,Bubi,74084,6079.293945,12.18628358,18252
ZW15,Matabeleland North,ZW1503,Hwange Rural,69357,26973.7168,2.571280796,17925
ZW15,Matabeleland North,ZW1504,Lupane,107248,10107.21094,10.61103807,23028
ZW15,Matabeleland North,ZW1505,Nkayi,112471,4830.602051,23.28301914,24017
ZW15,Matabeleland North,ZW1506,Tsholotsho,115782,7745.421387,14.94844428,26668
ZW15,Matabeleland North,ZW1507,Umguza,113265,6042.747559,18.74395693,28358
ZW15,Matabeleland North,ZW1521,Hwange Urban,40241,309.8158875,129.8868187,11441
ZW15,Matabeleland North,ZW1522,Victoria Falls,35215,27.50861931,1280.14422,10242
ZW16,Matabeleland South,ZW1601,Beitbridge Rural,94001,12719.15039,7.390509359,23197
ZW16,Matabeleland South,ZW1602,Bulilima,85600,6438.906738,13.2941823,20837
ZW16,Matabeleland South,ZW1603,Mangwe,65562,5722.349609,11.45718184,15570
ZW16,Matabeleland South,ZW1604,Gwanda Rural,124548,10711.99707,11.6269636,31473
ZW16,Matabeleland South,ZW1605,Insiza,122903,8220.785156,14.95027515,30372
ZW16,Matabeleland South,ZW1606,Matobo,95694,7244.603516,13.20900444,23771
ZW16,Matabeleland South,ZW1607,Umzingwane,71860,2780.209473,25.8469733,17958
ZW16,Matabeleland South,ZW1621,Gwanda Urban,27143,22.81630707,1189.631605,8375
ZW16,Matabeleland South,ZW1622,Beitbridge Urban,58574,89.32474518,655.7421449,17564
ZW16,Matabeleland South,ZW1623,Plumtree,14460,174.4214172,82.90266315,4211
ZW17,Midlands,ZW1701,Chirumhanzu,95272,4749.31543,20.06015423,24556
ZW17,Midlands,ZW1702,Gokwe North,249723,7268.09375,34.35880282,55232
ZW17,Midlands,ZW1703,Gokwe South,317554,11124.02441,28.54668312,70264
ZW17,Midlands,ZW1704,Gweru Rural,121712,5888.512207,20.66939759,30226
ZW17,Midlands,ZW1705,Kwekwe Rural,197062,8747.819336,22.52698558,47358
ZW17,Midlands,ZW1706,Mberengwa,208458,5066.466797,41.14464939,48678
ZW17,Midlands,ZW1707,Shurugwi Rural,98315,3464.440918,28.37831625,24096
ZW17,Midlands,ZW1708,Zvishavane Rural,85035,2475.52002,34.35035844,19719
ZW17,Midlands,ZW1721,Gweru Urban,161294,164.1557465,982.5668822,44808
ZW17,Midlands,ZW1722,Kwekwe Urban,119863,86.48867035,1385.880943,31311
ZW17,Midlands,ZW1723,Redcliff,41526,112.764267,368.2549545,11203
ZW17,Midlands,ZW1724,Zvishavane Urban,59714,62.37724304,957.3042521,17115
ZW17,Midlands,ZW1725,Gokwe Town,33073,18.95917511,1744.432435,9188
ZW17,Midlands,ZW1726,Shurugwi Town,23304,133.7274933,174.2648383,6490
ZW18,Masvingo,ZW1801,Bikita,176835,5179.665527,34.14023532,42916
ZW18,Masvingo,ZW1802,Chiredzi Rural,303503,17400.44922,17.44225084,71885
ZW18,Masvingo,ZW1803,Chivi,172979,3542.985107,48.8229543,40313
ZW18,Masvingo,ZW1804,Gutu,208149,7053.560547,29.50977717,53593
ZW18,Masvingo,ZW1805,Masvingo,238103,6849.300781,34.76311051,57891
ZW18,Masvingo,ZW1806,Mwenezi,209327,13209.7373,15.84641656,43603
ZW18,Masvingo,ZW1807,Zaka,198889,3125.943604,63.62526815,46206
ZW18,Masvingo,ZW1821,Masvingo Urban,90286,71.87631989,1256.129976,25272
ZW18,Masvingo,ZW1822,Chiredzi Urban,40457,22.18536186,1823.589818,11546
ZW19,Harare,ZW1921,Harare,1849617,855.5922089,2161.797385,500651
ZW19,Harare,ZW1922,Chitungwiza,371246,49.02185059,7573.071917,96221
ZW19,Harare,ZW1923,Epworth,206368,35.35403061,5837.184515,56685
