year,exports,imports
Jan 10,222315644,340685588
Feb 10,213500655,357366786
Mar 10,180243520,447462163
Apr 10,199169238,495267152
May 10,222559910,474573528
Jun 10,208631341,479777730
Jul 10,251969561,509461090
Aug 10,293240424,524922270
Sep 10,351124944,530154618
Oct 10,282405637,564637958
Nov 10,347834924,570562650
Dec 10,472455910,570061687
Jan 11,356005354,559091150
Feb 11,342759501,550176697
Mar 11,335260865,512374786
Apr 11,257697198,559851861
May 11,288743562,623206079
Jun 11,373029213,630450492
Jul 11,388804678,648464154
Aug 11,221313963,1222424484
Sep 11,226974741,815140707
Oct 11,143866926,1262300269
Nov 11,245245105,622935801
Dec 11,377325311,587869785
Jan 12,258124310,609638407
Feb 12,255206356,470581796
Mar 12,310051754,512171049
Apr 12,227253008,490135899
May 12,278161855,523922170
Jun 12,232719132,500347106
Jul 12,674006395,338063390
Aug 12,799490906,449726798
Sep 12,633025036,324343098
Oct 12,890785181,479941695
Nov 12,713429472,415207388
Dec 12,665502187,314872655
Jan 13,619793296,280117475
Feb 13,510161946,278535628
Mar 13,532691536,254008776
Apr 13,963740010,209914487
May 13,580506820,278376064
Jun 13,715460451,244902113
Jul 13,287436037,572670231
Aug 13,282668224,704193903
Sep 13,308586617,750208160
Oct 13,363714307,609954315
Nov 13,467412429,594179484
Dec 13,251836135,576490707
Jan 14,487819583,278197743
Feb 14,478794480,192465779
Mar 14,499943511,156413793
Apr 14,491606257,178995578
May 14,510058768,184239672
Jun 14,528100342,238007288
Jul 14,537979154,269918713
Aug 14,547848520,319186149
Sep 14,577647430,230404453
Oct 14,636661409,372749640
Nov 14,560678583,411529587
Dec 14,522620007,231628214
Jan 15,293481084,519496722
Feb 15,310722291,474425347
Mar 15,233253796,499605565
Apr 15,224106731,438477618
May 15,160705692,453000539
Jun 15,223670859,532212261
Jul 15,279916992,541582926
Aug 15,253684839,512225858
Sep 15,270252499,583677127
Oct 15,282074672,515944538
Nov 15,449374641,449288089
Dec 15,267049689,481114693
Jan 16,290030687,395365332
Feb 16,255823147,427727802
Mar 16,213130956,478073542
Apr 16,184601296,356468447
May 16,188268528,408211870
Jun 16,210168509,429588301
Jul 16,210065014,394423099
Aug 16,236155151,445029021
Sep 16,304791502,444663560
Oct 16,373461529,468084938
Nov 16,512570234,475521536
Dec 16,339822115,488951514
Jan 17,291970870,384957302
Feb 17,290663955,432666034
Mar 17,265669322,461743200
Apr 17,225575826,405540793
May 17,268629622,476307348
Jun 17,264506181,513483321
Jul 17,261960879,498494357
Aug 17,356472165,464887835
Sep 17,324813676,457876292
Oct 17,352796719,460797014
Nov 17,577844484,507122945
Dec 17,299800000,556300000
Jan 18,251200000,489700000
Feb 18,346324395,595662552
Mar 18,288558285,627533112
Apr 18,329620970,567870906
May 18,267186749,545229671
Jun 18,384669386,627531320
Jul 18,340269186,574343183
Aug 18,449343142,593569207
Sep 18,354120248,601657863
Oct 18,445263590,612693938
Nov 18,467739712,618592308
Dec 18,364849153,533263376
Jan 19,292634809,366435069
Feb 19,349522183,408110223
Mar 19,295885458,329929400
Apr 19,276974275,418741206
May 19,343185656,438358607
Jun 19,239808719,458947657
Jul 19,299470056,357388180
Aug 19,345522071,384747103
Sep 19,378423905,403958695
Oct 19,483345998,401122682
Nov 19,485541800,405860861
Dec 19,489068621,420487449
Jan 20,397725350,398505776
Feb 20,365540281,469123616
Mar 20,272055796,476860727
Apr 20,200475841,237364430
May 20,298730268,383431344
Jun 20,329607935,452677361
Jul 20,286462061,412564437
Aug 20,389317142,483661920
Sep 20,398855124,536652020
Oct 20,439431771,556531703
Nov 20,528354437,595158258
Dec 20,488252452,640563408
Jan 21,282902628,528427053
Feb 21,340994941,529045654
Mar 21,461840863,606139341
Apr 21,444692654,566322855
May 21,487133820,591519289
Jun 21,502674062,622322868
Jul 21,629899254,667563161
Aug 21,597278571,630146462
Sep 21,514437146,666657792
Oct 21,535498897,713672839
Nov 21,647600877,684327556
Dec 21,591234244,771168857
Jan 22,543913454,629511886
Feb 22,437979540,625547757
Mar 22,557574616,711830407
Apr 22,587265947,636706185
May 22,513149744,714600159
Jun 22,540952392,751472653
Jul 22,548362726,728260338
Aug 22,493585343,759935818
Sep 22,552298843,765349798
Oct 22,502294837,770449577
Nov 22,674625285,802421179
Dec 22,633488398,772643381
Jan 23,427693319,633831688
Feb 23,435870050,623474441
Mar 23,515304266,746391276
Apr 23,555548444,708562625
May 23,654242891,850351041
Jun 23,641480797,727401823
Jul 23,603232362,782912482
Aug 23,649787901,820220969
Sep 23,678103249,772671580
Oct 23,831905310,901494699
Nov 23,681400000,828400000
Dec 23,550600000,819400000
