industry,men,women
"Agriculture, forestry and fishing",351615,230523
Mining and quarrying,207072,20007
Manufacturing,203349,54391
"Electricity, gas, steam and air conditioning supply",4619,995
"Water supply; sewerage, waste management and remediation activities",5413,1727
Construction,122920,5266
Wholesale trade; retail trade; sale and repair of motor vehicles and motor cycles,197816,245926
Transportation and storage,81615,6115
Accommodation and food service activities,15430,25491
Information and communication,15772,6975
Financial activities,9406,6362
Insurance activities,10231,6051
Real estate activities,1709,1003
"Professional, scientific and technical activities",31887,19591
Administrative and support service activities,99690,42567
Public administration and defence; compulsory social security,54108,27932
Education,58574,89896
Human health and social work activities,20499,40859
"Arts, entertainment and recreation",7605,2373
Other service activities,35889,43745
Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,27272,60932
Activities of extraterritorial organizations and bodies,428,241
