date,econet,netone,telecel
Sep 14,6472382,2707682,2223724
Dec 14,6451863,3194641,2152148
Mar 15,6619058,3170955,2069142
Jun 15,6633260,3380407,1936124
Sep 15,6679797,3800993,1913593
Dec 15,6702691,4134720,1919999
Mar 16,6714939,4360298,1824936
Jun 16,6714832,4512359,1783682
Sep 16,6271562,4619498,1805243
Dec 16,6360904,4712410,1805612
Mar 17,6390232,4801762,1785321
Jun 17,7488588,4957105,1646411
Sep 17,7137171,4868897,1793580
Dec 17,7488588,4957105,1646411
Mar 18,7651312,2634137,1443029
Jun 18,7998657,2900433,1253381
Sep 18,8396728,3097077,1254746
Dec 18,8552289,3256592,1100111
Mar 19,8460405,2593444,1080606
Jun 19,8574412,2752458,1027445
Sep 19,8759360,3042930,1051325
Dec 19,9117826,3167399,910677
Mar 20,9575796,3323248,825478
Jun 20,8766968,3306173,725157
Sep 20,8603084,3455277,725424
Dec 20,8773300,3691314,727094
Mar 21,8668095,3721416,581104
Jun 21,8872214,4027009,582304
Sep 21,9073236,4279427,582570
Dec 21,9253453,4470592,533545
Mar 22,9359485,4422595,507005
Jun 22,9125792,4411239,469003
Sep 22,9753620,4339133,469489
Dec 22,9988105,3922734,389951
Mar 23,9996255,3747201,307795
Jun 23,10094328,3554075,307534
Sep 23,10319991,4171224,303364
Dec 23,10440693,4251791,281332
